Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
45721720,03/01/2020 12:00:14 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11105,20-58 29 STREET,29 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,,ASTORIA,29 STREET,,In Progress,,,,01 QUEENS,4008490066,QUEENS,1009585,223261,PHONE,Unspecified,QUEENS,,,,,,,,40.77943982293858,-73.90852151729509,"(40.77943982293858, -73.90852151729509)"
45724856,03/01/2020 12:00:19 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10032,601 WEST  162 STREET,WEST  162 STREET,BROADWAY,FT WASHINGTON AVENUE,BROADWAY,FT WASHINGTON AVENUE,,NEW YORK,WEST  162 STREET,,In Progress,,,,12 MANHATTAN,1021370032,MANHATTAN,1000053,244338,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.83731252266576,-73.94288960594909,"(40.83731252266576, -73.94288960594909)"
45724062,03/01/2020 12:00:40 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,10026,91 WEST  119 STREET,WEST  119 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,,NEW YORK,WEST  119 STREET,,In Progress,,,,10 MANHATTAN,1017180005,MANHATTAN,998824,232048,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8035820604078,-73.94735777407081,"(40.8035820604078, -73.94735777407081)"
45722569,03/01/2020 12:00:54 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,1912 CROTONA AVENUE,CROTONA AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,,BRONX,CROTONA AVENUE,,In Progress,,,,06 BRONX,2029500044,BRONX,1014198,247025,MOBILE,Unspecified,BRONX,,,,,,,,40.84465090854183,-73.89175909176805,"(40.84465090854183, -73.89175909176805)"
45723443,03/01/2020 12:01:36 AM,03/01/2020 12:04:51 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10023,5 COLUMBUS AVENUE,COLUMBUS AVENUE,9 AVENUE,WEST   60 STREET,9 AVENUE,WEST   60 STREET,,NEW YORK,COLUMBUS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 05:04:53 AM,04 MANHATTAN,1010490001,MANHATTAN,988511,219595,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.769412896726855,-73.98461689128571,"(40.769412896726855, -73.98461689128571)"
45723318,03/01/2020 12:02:10 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,11368,108-61 44 AVENUE,44 AVENUE,108 STREET,111 STREET,108 STREET,111 STREET,,CORONA,44 AVENUE,,In Progress,,,,04 QUEENS,4019990042,QUEENS,1023900,211907,PHONE,Unspecified,QUEENS,,,,,,,,40.748223438572225,-73.85690060427181,"(40.748223438572225, -73.85690060427181)"
45721776,03/01/2020 12:03:12 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10023,5 COLUMBUS AVENUE,COLUMBUS AVENUE,9 AVENUE,WEST   60 STREET,9 AVENUE,WEST   60 STREET,,NEW YORK,COLUMBUS AVENUE,,In Progress,,,,04 MANHATTAN,1010490001,MANHATTAN,988511,219595,ONLINE,Unspecified,MANHATTAN,,,"5 COLUMBUS AVENUE, MANHATTAN (NEW YORK), NY, 10023",,,,,40.769412896726855,-73.98461689128571,"(40.769412896726855, -73.98461689128571)"
45722597,03/01/2020 12:03:19 AM,03/01/2020 01:30:53 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,2280 OLINVILLE AVENUE,OLINVILLE AVENUE,THWAITES PLACE,WARING AVENUE,THWAITES PLACE,WARING AVENUE,,BRONX,OLINVILLE AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,03/01/2020 06:30:56 AM,11 BRONX,2043420010,BRONX,1020613,252469,ONLINE,Unspecified,BRONX,,,,,,,,40.85956896855719,-73.86854389289176,"(40.85956896855719, -73.86854389289176)"
45724803,03/01/2020 12:03:30 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,3816 REVIEW PLACE,REVIEW PLACE,WEST  238 STREET,WEST  239 STREET,WEST  238 STREET,WEST  239 STREET,,BRONX,REVIEW PLACE,,In Progress,,,,08 BRONX,2032710132,BRONX,1012016,261732,MOBILE,Unspecified,BRONX,,,,,,,,40.88502426998677,-73.89958454267529,"(40.88502426998677, -73.89958454267529)"
45726292,03/01/2020 12:03:33 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,43-03 BROADWAY,BROADWAY,43 STREET,44 STREET,43 STREET,44 STREET,,ASTORIA,BROADWAY,,In Progress,,,,01 QUEENS,4006930007,QUEENS,1007392,215372,PHONE,Unspecified,QUEENS,,,,,,,,40.75779259130661,-73.9164670619896,"(40.75779259130661, -73.9164670619896)"
